entry,at,order
"""param @ 1c6V3eltlj"" posts a small blind of 5",2026-03-27T03:18:27.948Z,177458150794805
"Your hand is A♦, 9♥",2026-03-27T03:18:27.948Z,177458150794804
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1140) | #2 ""nad @ -kxVOncdJw"" (1710) | #3 ""param @ 1c6V3eltlj"" (1150)",2026-03-27T03:18:27.948Z,177458150794801
"-- starting hand #71 (id: hrupm81vgyjo)  No Limit Texas Hold'em (dealer: ""nad @ -kxVOncdJw"") --",2026-03-27T03:18:27.948Z,177458150794800
"""1000 @ 8pAlpXMD6x"" shows a 6♥, 2♣.",2026-03-27T03:18:22.056Z,177458150205600
"-- ending hand #70 --",2026-03-27T03:18:21.435Z,177458150143503
"""param @ 1c6V3eltlj"" collected 240 from pot with Three of a Kind, Q's (combination: 10♣, K♥, Q♠, Q♦, Q♣)",2026-03-27T03:18:21.435Z,177458150143502
"""param @ 1c6V3eltlj"" shows a Q♠, 7♠.",2026-03-27T03:18:21.435Z,177458150143501
"""nad @ -kxVOncdJw"" shows a 10♠, 6♠.",2026-03-27T03:18:21.435Z,177458150143500
"""param @ 1c6V3eltlj"" calls 60",2026-03-27T03:18:20.584Z,177458150058400
"""nad @ -kxVOncdJw"" bets 60",2026-03-27T03:18:18.758Z,177458149875800
"River: Q♦, Q♣, 10♣, 6♦ [K♥]",2026-03-27T03:18:14.512Z,177458149451200
"""nad @ -kxVOncdJw"" calls 30",2026-03-27T03:18:13.676Z,177458149367600
"""param @ 1c6V3eltlj"" bets 30",2026-03-27T03:18:11.549Z,177458149154900
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:18:09.156Z,177458148915600
"Turn: Q♦, Q♣, 10♣ [6♦]",2026-03-27T03:18:05.864Z,177458148586400
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:18:05.025Z,177458148502500
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:18:03.373Z,177458148337300
"Flop:  [Q♦, Q♣, 10♣]",2026-03-27T03:18:00.740Z,177458148074000
"""param @ 1c6V3eltlj"" calls 30",2026-03-27T03:17:59.933Z,177458147993300
"""nad @ -kxVOncdJw"" raises to 30",2026-03-27T03:17:57.909Z,177458147790900
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:17:55.651Z,177458147565100
"""param @ 1c6V3eltlj"" posts a big blind of 10",2026-03-27T03:17:53.463Z,177458147346306
"""nad @ -kxVOncdJw"" posts a small blind of 5",2026-03-27T03:17:53.463Z,177458147346305
"Your hand is Q♠, 7♠",2026-03-27T03:17:53.463Z,177458147346304
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1140) | #2 ""nad @ -kxVOncdJw"" (1830) | #3 ""param @ 1c6V3eltlj"" (1030)",2026-03-27T03:17:53.463Z,177458147346301
"-- starting hand #70 (id: wibgstlstr6h)  No Limit Texas Hold'em (dealer: ""1000 @ 8pAlpXMD6x"") --",2026-03-27T03:17:53.463Z,177458147346300
"""param @ 1c6V3eltlj"" shows a 10♣, 3♥.",2026-03-27T03:17:48.208Z,177458146820800
"-- ending hand #69 --",2026-03-27T03:17:46.935Z,177458146693503
"""nad @ -kxVOncdJw"" collected 300 from pot with Pair, J's (combination: 9♣, Q♦, A♠, J♠, J♣)",2026-03-27T03:17:46.935Z,177458146693502
"""nad @ -kxVOncdJw"" shows a J♠, Q♦.",2026-03-27T03:17:46.935Z,177458146693501
"""1000 @ 8pAlpXMD6x"" shows a 7♠, 8♥.",2026-03-27T03:17:46.935Z,177458146693500
"""nad @ -kxVOncdJw"" calls 75",2026-03-27T03:17:46.125Z,177458146612500
"""1000 @ 8pAlpXMD6x"" bets 75",2026-03-27T03:17:44.343Z,177458146434300
"River: J♣, 5♦, 9♣, A♠ [4♠]",2026-03-27T03:17:42.582Z,177458146258200
"""nad @ -kxVOncdJw"" calls 45",2026-03-27T03:17:41.773Z,177458146177300
"""1000 @ 8pAlpXMD6x"" bets 45",2026-03-27T03:17:39.789Z,177458145978900
"Turn: J♣, 5♦, 9♣ [A♠]",2026-03-27T03:17:38.254Z,177458145825400
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:17:37.428Z,177458145742800
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:17:36.571Z,177458145657100
"Flop:  [J♣, 5♦, 9♣]",2026-03-27T03:17:34.652Z,177458145465200
"""1000 @ 8pAlpXMD6x"" calls 30",2026-03-27T03:17:33.799Z,177458145379900
"""nad @ -kxVOncdJw"" raises to 30",2026-03-27T03:17:32.929Z,177458145292900
"""1000 @ 8pAlpXMD6x"" calls 10",2026-03-27T03:17:30.957Z,177458145095700
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:17:28.357Z,177458144835700
"""nad @ -kxVOncdJw"" posts a big blind of 10",2026-03-27T03:17:24.881Z,177458144488106
"""1000 @ 8pAlpXMD6x"" posts a small blind of 5",2026-03-27T03:17:24.881Z,177458144488105
"Your hand is 10♣, 3♥",2026-03-27T03:17:24.881Z,177458144488104
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1290) | #2 ""nad @ -kxVOncdJw"" (1680) | #3 ""param @ 1c6V3eltlj"" (1030)",2026-03-27T03:17:24.881Z,177458144488101
"-- starting hand #69 (id: knycnuwzbaah)  No Limit Texas Hold'em (dealer: ""param @ 1c6V3eltlj"") --",2026-03-27T03:17:24.881Z,177458144488100
"""param @ 1c6V3eltlj"" shows a 4♦, K♥.",2026-03-27T03:17:20.620Z,177458144062000
"""nad @ -kxVOncdJw"" shows a K♠, 9♣.",2026-03-27T03:17:20.310Z,177458144031000
"""1000 @ 8pAlpXMD6x"" shows a Q♠, K♦.",2026-03-27T03:17:20.270Z,177458144027000
"-- ending hand #68 --",2026-03-27T03:17:19.873Z,177458143987302
"""1000 @ 8pAlpXMD6x"" collected 120 from pot",2026-03-27T03:17:19.873Z,177458143987301
"Uncalled bet of 60 returned to ""1000 @ 8pAlpXMD6x""",2026-03-27T03:17:19.873Z,177458143987300
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:17:19.061Z,177458143906100
"""nad @ -kxVOncdJw"" folds",2026-03-27T03:17:18.100Z,177458143810000
"""1000 @ 8pAlpXMD6x"" bets 60",2026-03-27T03:17:17.013Z,177458143701300
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:17:15.075Z,177458143507500
"Flop:  [10♥, 3♦, 7♣]",2026-03-27T03:17:12.403Z,177458143240300
"""param @ 1c6V3eltlj"" calls 40",2026-03-27T03:17:11.558Z,177458143155800
"""nad @ -kxVOncdJw"" calls 40",2026-03-27T03:17:08.821Z,177458142882100
"""1000 @ 8pAlpXMD6x"" raises to 40",2026-03-27T03:17:03.612Z,177458142361200
"""param @ 1c6V3eltlj"" calls 10",2026-03-27T03:17:01.326Z,177458142132600
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:16:58.788Z,177458141878800
"""1000 @ 8pAlpXMD6x"" posts a big blind of 10",2026-03-27T03:16:57.250Z,177458141725006
"""param @ 1c6V3eltlj"" posts a small blind of 5",2026-03-27T03:16:57.250Z,177458141725005
"Your hand is 4♦, K♥",2026-03-27T03:16:57.250Z,177458141725004
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1210) | #2 ""nad @ -kxVOncdJw"" (1720) | #3 ""param @ 1c6V3eltlj"" (1070)",2026-03-27T03:16:57.250Z,177458141725001
"-- starting hand #68 (id: fwu5h5pqxuit)  No Limit Texas Hold'em (dealer: ""nad @ -kxVOncdJw"") --",2026-03-27T03:16:57.250Z,177458141725000
"""1000 @ 8pAlpXMD6x"" shows a 4♠, 10♦.",2026-03-27T03:16:54.575Z,177458141457500
"""nad @ -kxVOncdJw"" shows a A♠, 8♥.",2026-03-27T03:16:53.366Z,177458141336600
"""param @ 1c6V3eltlj"" shows a 10♠, 6♣.",2026-03-27T03:16:53.075Z,177458141307500
"-- ending hand #67 --",2026-03-27T03:16:52.246Z,177458141224602
"""nad @ -kxVOncdJw"" collected 30 from pot",2026-03-27T03:16:52.246Z,177458141224601
"Uncalled bet of 20 returned to ""nad @ -kxVOncdJw""",2026-03-27T03:16:52.246Z,177458141224600
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:16:51.383Z,177458141138300
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:16:50.513Z,177458141051300
"""nad @ -kxVOncdJw"" bets 20",2026-03-27T03:16:46.212Z,177458140621200
"Turn: 3♦, 9♠, Q♣ [7♣]",2026-03-27T03:16:39.517Z,177458139951700
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:16:38.713Z,177458139871300
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:16:35.940Z,177458139594000
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:16:34.397Z,177458139439700
"Flop:  [3♦, 9♠, Q♣]",2026-03-27T03:16:30.657Z,177458139065700
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:16:29.841Z,177458138984100
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:16:27.891Z,177458138789100
"""1000 @ 8pAlpXMD6x"" calls 10",2026-03-27T03:16:26.489Z,177458138648900
"""param @ 1c6V3eltlj"" posts a big blind of 10",2026-03-27T03:16:25.355Z,177458138535506
"""nad @ -kxVOncdJw"" posts a small blind of 5",2026-03-27T03:16:25.355Z,177458138535505
"Your hand is 10♠, 6♣",2026-03-27T03:16:25.355Z,177458138535504
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1220) | #2 ""nad @ -kxVOncdJw"" (1700) | #3 ""param @ 1c6V3eltlj"" (1080)",2026-03-27T03:16:25.355Z,177458138535501
"-- starting hand #67 (id: kpzqqmfej4dg)  No Limit Texas Hold'em (dealer: ""1000 @ 8pAlpXMD6x"") --",2026-03-27T03:16:25.355Z,177458138535500
"""1000 @ 8pAlpXMD6x"" shows a 10♥, 4♣.",2026-03-27T03:16:22.253Z,177458138225300
"""nad @ -kxVOncdJw"" shows a 4♠, K♠.",2026-03-27T03:16:21.485Z,177458138148500
"""param @ 1c6V3eltlj"" shows a 6♥, A♥.",2026-03-27T03:16:21.108Z,177458138110800
"-- ending hand #66 --",2026-03-27T03:16:20.351Z,177458138035102
"""nad @ -kxVOncdJw"" collected 305 from pot",2026-03-27T03:16:20.351Z,177458138035101
"Uncalled bet of 135 returned to ""nad @ -kxVOncdJw""",2026-03-27T03:16:20.351Z,177458138035100
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:16:19.476Z,177458137947600
"""nad @ -kxVOncdJw"" bets 135",2026-03-27T03:16:18.043Z,177458137804300
"River: 9♣, K♥, 7♣, 7♠ [10♣]",2026-03-27T03:16:07.261Z,177458136726100
"""nad @ -kxVOncdJw"" calls 80",2026-03-27T03:16:06.436Z,177458136643600
"""param @ 1c6V3eltlj"" raises to 80",2026-03-27T03:16:04.441Z,177458136444100
"""nad @ -kxVOncdJw"" bets 40",2026-03-27T03:15:59.075Z,177458135907500
"Turn: 9♣, K♥, 7♣ [7♠]",2026-03-27T03:15:54.689Z,177458135468900
"""nad @ -kxVOncdJw"" calls 40",2026-03-27T03:15:53.831Z,177458135383100
"""param @ 1c6V3eltlj"" bets 40",2026-03-27T03:15:49.538Z,177458134953800
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:15:46.067Z,177458134606700
"Flop:  [9♣, K♥, 7♣]",2026-03-27T03:15:44.375Z,177458134437500
"""nad @ -kxVOncdJw"" calls 30",2026-03-27T03:15:43.565Z,177458134356500
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:15:42.393Z,177458134239300
"""param @ 1c6V3eltlj"" raises to 30",2026-03-27T03:15:40.327Z,177458134032700
"""nad @ -kxVOncdJw"" posts a big blind of 10",2026-03-27T03:15:37.020Z,177458133702006
"""1000 @ 8pAlpXMD6x"" posts a small blind of 5",2026-03-27T03:15:37.020Z,177458133702005
"Your hand is 6♥, A♥",2026-03-27T03:15:37.020Z,177458133702004
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1225) | #2 ""nad @ -kxVOncdJw"" (1545) | #3 ""param @ 1c6V3eltlj"" (1230)",2026-03-27T03:15:37.020Z,177458133702001
"-- starting hand #66 (id: rv8njdybibzj)  No Limit Texas Hold'em (dealer: ""param @ 1c6V3eltlj"") --",2026-03-27T03:15:37.020Z,177458133702000
"""nad @ -kxVOncdJw"" shows a 8♣, Q♠.",2026-03-27T03:15:32.729Z,177458133272900
"""param @ 1c6V3eltlj"" shows a 2♣, 8♥.",2026-03-27T03:15:32.471Z,177458133247100
"""1000 @ 8pAlpXMD6x"" shows a 8♠, 10♦.",2026-03-27T03:15:32.422Z,177458133242200
"-- ending hand #65 --",2026-03-27T03:15:32.018Z,177458133201802
"""nad @ -kxVOncdJw"" collected 180 from pot",2026-03-27T03:15:32.018Z,177458133201801
"Uncalled bet of 65 returned to ""nad @ -kxVOncdJw""",2026-03-27T03:15:32.018Z,177458133201800
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:15:31.187Z,177458133118700
"""nad @ -kxVOncdJw"" raises to 110",2026-03-27T03:15:30.025Z,177458133002500
"""1000 @ 8pAlpXMD6x"" bets 45",2026-03-27T03:15:25.579Z,177458132557900
"Turn: J♠, 3♣, 5♣ [A♠]",2026-03-27T03:15:23.161Z,177458132316100
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:15:22.357Z,177458132235700
"""nad @ -kxVOncdJw"" calls 30",2026-03-27T03:15:21.288Z,177458132128800
"""1000 @ 8pAlpXMD6x"" bets 30",2026-03-27T03:15:19.493Z,177458131949300
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:15:17.042Z,177458131704200
"Flop:  [J♠, 3♣, 5♣]",2026-03-27T03:15:14.939Z,177458131493900
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:15:14.110Z,177458131411000
"""param @ 1c6V3eltlj"" calls 10",2026-03-27T03:15:13.175Z,177458131317500
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:15:11.401Z,177458131140100
"""1000 @ 8pAlpXMD6x"" posts a big blind of 10",2026-03-27T03:15:08.909Z,177458130890906
"""param @ 1c6V3eltlj"" posts a small blind of 5",2026-03-27T03:15:08.909Z,177458130890905
"Your hand is 2♣, 8♥",2026-03-27T03:15:08.909Z,177458130890904
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1310) | #2 ""nad @ -kxVOncdJw"" (1450) | #3 ""param @ 1c6V3eltlj"" (1240)",2026-03-27T03:15:08.909Z,177458130890901
"-- starting hand #65 (id: gv8pcxly4pif)  No Limit Texas Hold'em (dealer: ""nad @ -kxVOncdJw"") --",2026-03-27T03:15:08.909Z,177458130890900
"""param @ 1c6V3eltlj"" shows a A♦, 2♠.",2026-03-27T03:15:04.451Z,177458130445100
"""nad @ -kxVOncdJw"" shows a 4♠, 6♣.",2026-03-27T03:15:04.352Z,177458130435200
"""1000 @ 8pAlpXMD6x"" shows a 10♦, Q♠.",2026-03-27T03:15:04.334Z,177458130433400
"-- ending hand #64 --",2026-03-27T03:15:03.900Z,177458130390002
"""1000 @ 8pAlpXMD6x"" collected 65 from pot",2026-03-27T03:15:03.900Z,177458130390001
"Uncalled bet of 32 returned to ""1000 @ 8pAlpXMD6x""",2026-03-27T03:15:03.900Z,177458130390000
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:15:03.082Z,177458130308200
"""1000 @ 8pAlpXMD6x"" bets 32",2026-03-27T03:15:00.325Z,177458130032500
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:14:58.389Z,177458129838900
"Flop:  [K♠, J♠, 6♥]",2026-03-27T03:14:56.080Z,177458129608000
"""param @ 1c6V3eltlj"" calls 30",2026-03-27T03:14:55.253Z,177458129525300
"""nad @ -kxVOncdJw"" folds",2026-03-27T03:14:53.266Z,177458129326600
"""1000 @ 8pAlpXMD6x"" raises to 30",2026-03-27T03:14:47.523Z,177458128752300
"""param @ 1c6V3eltlj"" posts a big blind of 10",2026-03-27T03:14:45.221Z,177458128522106
"""nad @ -kxVOncdJw"" posts a small blind of 5",2026-03-27T03:14:45.221Z,177458128522105
"Your hand is A♦, 2♠",2026-03-27T03:14:45.221Z,177458128522104
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1275) | #2 ""nad @ -kxVOncdJw"" (1455) | #3 ""param @ 1c6V3eltlj"" (1270)",2026-03-27T03:14:45.221Z,177458128522101
"-- starting hand #64 (id: l8k4yqpgvau8)  No Limit Texas Hold'em (dealer: ""1000 @ 8pAlpXMD6x"") --",2026-03-27T03:14:45.221Z,177458128522100
"""nad @ -kxVOncdJw"" shows a Q♥, 2♣.",2026-03-27T03:14:41.356Z,177458128135600
"""param @ 1c6V3eltlj"" shows a 7♦, 10♠.",2026-03-27T03:14:40.779Z,177458128077900
"""1000 @ 8pAlpXMD6x"" shows a 6♦, 8♥.",2026-03-27T03:14:40.768Z,177458128076800
"-- ending hand #63 --",2026-03-27T03:14:40.218Z,177458128021802
"""1000 @ 8pAlpXMD6x"" collected 100 from pot",2026-03-27T03:14:40.218Z,177458128021801
"Uncalled bet of 50 returned to ""1000 @ 8pAlpXMD6x""",2026-03-27T03:14:40.218Z,177458128021800
"""nad @ -kxVOncdJw"" folds",2026-03-27T03:14:39.390Z,177458127939000
"""1000 @ 8pAlpXMD6x"" bets 50",2026-03-27T03:14:36.518Z,177458127651800
"River: 8♣, A♥, J♦, 5♥ [7♥]",2026-03-27T03:14:34.417Z,177458127441700
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:14:33.610Z,177458127361000
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:14:32.108Z,177458127210800
"Turn: 8♣, A♥, J♦ [5♥]",2026-03-27T03:14:31.300Z,177458127130000
"""1000 @ 8pAlpXMD6x"" calls 40",2026-03-27T03:14:30.480Z,177458127048000
"""nad @ -kxVOncdJw"" raises to 40",2026-03-27T03:14:29.382Z,177458126938200
"""1000 @ 8pAlpXMD6x"" bets 20",2026-03-27T03:14:26.529Z,177458126652900
"Flop:  [8♣, A♥, J♦]",2026-03-27T03:14:23.814Z,177458126381400
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:14:22.993Z,177458126299300
"""1000 @ 8pAlpXMD6x"" calls 10",2026-03-27T03:14:22.129Z,177458126212900
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:14:21.254Z,177458126125400
"""nad @ -kxVOncdJw"" posts a big blind of 10",2026-03-27T03:14:18.150Z,177458125815006
"""1000 @ 8pAlpXMD6x"" posts a small blind of 5",2026-03-27T03:14:18.150Z,177458125815005
"Your hand is 7♦, 10♠",2026-03-27T03:14:18.150Z,177458125815004
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1225) | #2 ""nad @ -kxVOncdJw"" (1505) | #3 ""param @ 1c6V3eltlj"" (1270)",2026-03-27T03:14:18.150Z,177458125815001
"-- starting hand #63 (id: 2rfbicqtsllk)  No Limit Texas Hold'em (dealer: ""param @ 1c6V3eltlj"") --",2026-03-27T03:14:18.150Z,177458125815000
"""nad @ -kxVOncdJw"" shows a 2♦, J♣.",2026-03-27T03:14:14.067Z,177458125406700
"""param @ 1c6V3eltlj"" shows a Q♥, 6♥.",2026-03-27T03:14:13.754Z,177458125375400
"""1000 @ 8pAlpXMD6x"" shows a 4♣, 10♥.",2026-03-27T03:14:13.596Z,177458125359600
"-- ending hand #62 --",2026-03-27T03:14:13.145Z,177458125314502
"""param @ 1c6V3eltlj"" collected 120 from pot",2026-03-27T03:14:13.145Z,177458125314501
"Uncalled bet of 90 returned to ""param @ 1c6V3eltlj""",2026-03-27T03:14:13.145Z,177458125314500
"""nad @ -kxVOncdJw"" folds",2026-03-27T03:14:12.317Z,177458125231700
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:14:11.391Z,177458125139100
"""param @ 1c6V3eltlj"" bets 90",2026-03-27T03:14:10.140Z,177458125014000
"River: K♥, J♥, K♣, A♥ [4♠]",2026-03-27T03:14:06.268Z,177458124626800
"""nad @ -kxVOncdJw"" calls 30",2026-03-27T03:14:05.460Z,177458124546000
"""1000 @ 8pAlpXMD6x"" calls 30",2026-03-27T03:14:04.329Z,177458124432900
"""param @ 1c6V3eltlj"" bets 30",2026-03-27T03:14:03.346Z,177458124334600
"Turn: K♥, J♥, K♣ [A♥]",2026-03-27T03:13:59.209Z,177458123920900
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:13:58.346Z,177458123834600
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:13:57.476Z,177458123747600
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:13:56.084Z,177458123608400
"Flop:  [K♥, J♥, K♣]",2026-03-27T03:13:54.013Z,177458123401300
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:13:53.193Z,177458123319300
"""param @ 1c6V3eltlj"" calls 10",2026-03-27T03:13:51.207Z,177458123120700
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:13:49.207Z,177458122920700
"""1000 @ 8pAlpXMD6x"" posts a big blind of 10",2026-03-27T03:13:47.889Z,177458122788906
"""param @ 1c6V3eltlj"" posts a small blind of 5",2026-03-27T03:13:47.889Z,177458122788905
"Your hand is Q♥, 6♥",2026-03-27T03:13:47.889Z,177458122788904
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1265) | #2 ""nad @ -kxVOncdJw"" (1545) | #3 ""param @ 1c6V3eltlj"" (1190)",2026-03-27T03:13:47.889Z,177458122788901
"-- starting hand #62 (id: bhcsz75uqlbd)  No Limit Texas Hold'em (dealer: ""nad @ -kxVOncdJw"") --",2026-03-27T03:13:47.889Z,177458122788900
"""param @ 1c6V3eltlj"" shows a 3♥, 8♠.",2026-03-27T03:13:44.688Z,177458122468800
"""1000 @ 8pAlpXMD6x"" shows a 10♥, 7♠.",2026-03-27T03:13:44.598Z,177458122459800
"""nad @ -kxVOncdJw"" shows a A♣, 6♣.",2026-03-27T03:13:43.405Z,177458122340500
"-- ending hand #61 --",2026-03-27T03:13:42.886Z,177458122288602
"""nad @ -kxVOncdJw"" collected 30 from pot",2026-03-27T03:13:42.886Z,177458122288601
"Uncalled bet of 20 returned to ""nad @ -kxVOncdJw""",2026-03-27T03:13:42.886Z,177458122288600
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:13:42.068Z,177458122206800
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:13:41.189Z,177458122118900
"""nad @ -kxVOncdJw"" bets 20",2026-03-27T03:13:39.679Z,177458121967900
"Flop:  [A♥, 3♣, J♠]",2026-03-27T03:13:36.395Z,177458121639500
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:13:35.577Z,177458121557700
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:13:34.648Z,177458121464800
"""1000 @ 8pAlpXMD6x"" calls 10",2026-03-27T03:13:33.220Z,177458121322000
"""param @ 1c6V3eltlj"" posts a big blind of 10",2026-03-27T03:13:32.231Z,177458121223107
"""nad @ -kxVOncdJw"" posts a small blind of 5",2026-03-27T03:13:32.231Z,177458121223106
"Your hand is 3♥, 8♠",2026-03-27T03:13:32.231Z,177458121223105
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1275) | #2 ""nad @ -kxVOncdJw"" (1525) | #3 ""param @ 1c6V3eltlj"" (1200)",2026-03-27T03:13:32.231Z,177458121223102
"-- starting hand #61 (id: wznmur1lavuf)  No Limit Texas Hold'em (dealer: ""1000 @ 8pAlpXMD6x"") --",2026-03-27T03:13:32.231Z,177458121223101
"Game Config Changes
* Poker Variant: Pot Limit Omaha Hi » No Limit Texas Hold'em
* Restart Blind Schedule at Level: none » 1",2026-03-27T03:13:32.231Z,177458121223100
"""nad @ -kxVOncdJw"" shows a 5♠, A♣, 6♦, 3♣.",2026-03-27T03:13:29.102Z,177458120910200
"-- ending hand #60 --",2026-03-27T03:13:28.594Z,177458120859402
"""nad @ -kxVOncdJw"" collected 30 from pot",2026-03-27T03:13:28.594Z,177458120859401
"Uncalled bet of 30 returned to ""nad @ -kxVOncdJw""",2026-03-27T03:13:28.594Z,177458120859400
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:13:27.733Z,177458120773300
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:13:26.856Z,177458120685600
"""nad @ -kxVOncdJw"" bets 30",2026-03-27T03:13:24.196Z,177458120419600
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:13:20.393Z,177458120039300
"Flop:  [4♥, 3♥, 7♥]",2026-03-27T03:13:13.185Z,177458119318500
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:13:12.328Z,177458119232800
"""1000 @ 8pAlpXMD6x"" calls 10",2026-03-27T03:13:10.268Z,177458119026800
"""param @ 1c6V3eltlj"" calls 10",2026-03-27T03:13:09.128Z,177458118912800
"""nad @ -kxVOncdJw"" posts a big blind of 10",2026-03-27T03:13:02.390Z,177458118239006
"""1000 @ 8pAlpXMD6x"" posts a small blind of 5",2026-03-27T03:13:02.390Z,177458118239005
"Your hand is 9♥, 4♠, 2♠, 8♣",2026-03-27T03:13:02.390Z,177458118239004
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1285) | #2 ""nad @ -kxVOncdJw"" (1505) | #3 ""param @ 1c6V3eltlj"" (1210)",2026-03-27T03:13:02.390Z,177458118239001
"-- starting hand #60 (id: woxxitrparzw)  Pot Limit Omaha Hi (dealer: ""param @ 1c6V3eltlj"") --",2026-03-27T03:13:02.390Z,177458118239000
"""1000 @ 8pAlpXMD6x"" shows a 10♥, 6♥, 9♦.",2026-03-27T03:12:58.998Z,177458117899800
"""1000 @ 8pAlpXMD6x"" shows a 7♣.",2026-03-27T03:12:58.682Z,177458117868200
"""nad @ -kxVOncdJw"" shows a 9♣, K♥, 8♥, 8♠.",2026-03-27T03:12:57.856Z,177458117785600
"""param @ 1c6V3eltlj"" shows a Q♣, 3♠, 10♠, 2♥.",2026-03-27T03:12:57.831Z,177458117783100
"-- ending hand #59 --",2026-03-27T03:12:57.250Z,177458117725002
"""nad @ -kxVOncdJw"" collected 150 from pot",2026-03-27T03:12:57.250Z,177458117725001
"Uncalled bet of 75 returned to ""nad @ -kxVOncdJw""",2026-03-27T03:12:57.250Z,177458117725000
"""1000 @ 8pAlpXMD6x"" folds",2026-03-27T03:12:56.420Z,177458117642000
"""nad @ -kxVOncdJw"" bets 75",2026-03-27T03:12:50.240Z,177458117024000
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:12:45.871Z,177458116587100
"River: 4♥, 4♣, 2♣, 4♦ [3♥]",2026-03-27T03:12:44.710Z,177458116471000
"""1000 @ 8pAlpXMD6x"" calls 30",2026-03-27T03:12:43.883Z,177458116388300
"""nad @ -kxVOncdJw"" bets 30",2026-03-27T03:12:42.221Z,177458116222100
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:12:39.728Z,177458115972800
"Turn: 4♥, 4♣, 2♣ [4♦]",2026-03-27T03:12:38.217Z,177458115821700
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:12:37.411Z,177458115741100
"""1000 @ 8pAlpXMD6x"" checks",2026-03-27T03:12:35.523Z,177458115552300
"Flop:  [4♥, 4♣, 2♣]",2026-03-27T03:12:34.129Z,177458115412900
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:12:33.312Z,177458115331200
"""nad @ -kxVOncdJw"" calls 40",2026-03-27T03:12:31.355Z,177458115135500
"""1000 @ 8pAlpXMD6x"" raises to 40",2026-03-27T03:12:29.795Z,177458114979500
"""param @ 1c6V3eltlj"" calls 10",2026-03-27T03:12:27.896Z,177458114789600
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:12:26.233Z,177458114623300
